EventName,Start,End,AllDay,Description,Location,Public
"--autoDecline "Games"",2020-03-02 00:00,2020-03-03 00:00,true,"","",true
""Daily Standup"",2021-03-15 00:00,2021-03-15 00:00,true,"","",true
""Daily Standup"",2021-03-17 00:00,2021-03-17 00:00,true,"","",true
""Daily Standup"",2021-03-22 00:00,2021-03-22 00:00,true,"","",true
""Daily Standup"",2021-03-24 00:00,2021-03-24 00:00,true,"","",true
""Daily Standup"",2021-03-29 00:00,2021-03-29 00:00,true,"","",true
""Daily Standup"",2021-03-31 00:00,2021-03-31 00:00,true,"","",true
""Daily Standup"",2021-04-05 00:00,2021-04-05 00:00,true,"","",true
""Daily Standup"",2021-04-07 00:00,2021-04-07 00:00,true,"","",true
"--autoDecline "PDP class"",2025-03-01 09:30,2025-03-01 11:30,false,"","",true
"Test description Planning_session",2025-03-11 11:00,2025-03-11 12:00,false,"","",true
"Marino",2025-03-11 13:12,2025-03-11 15:12,false,"","",true
"Test description Planning_session",2025-03-18 11:00,2025-03-18 12:00,false,"","",true
